BARRIO;COMUNA
Aguas Frias;Belén
Aldea Pablo VI;Popular
Alejandría;El Poblado
Alejandro Echavarría;Buenos Aires
Alfonso López;Castilla
Altamira;Robledo
Altavista;Belén
Altos del Poblado;El Poblado
Andalucía;Santa Cruz
Antonio Nariño;San Javier
Aranjuez;Aranjuez
Asomadera No. 1;Buenos Aires
Asomadera No. 2;Buenos Aires
Asomadera No. 3;Buenos Aires
Astorga;El Poblado
Aures No. 1;Robledo
Aures No. 2;Robledo
Barrio Colombia;El Poblado
Barrio Colón;La Candelaria
Barrio Cristóbal;La América
Barrio Facultad de Minas;Robledo
Barrios de Jesús;Buenos Aires
Batallón Girardot;Villa Hermosa
Belalcázar;Castilla
Belén;Belén
Belencito;San Javier
Bello Horizonte;Robledo
Berlín;Aranjuez
Bermejal-Los Alamos;Aranjuez
Betania;San Javier
Blanquizal;San Javier
Bolivariana;Laureles-Estadio
Bomboná No. 1;La Candelaria
Bomboná No. 2;Buenos Aires
Bosques de San Pablo;Robledo
Boston;La Candelaria
Boyacá;Castilla
Brasilia;Aranjuez
Buenos Aires;Buenos Aires
Caicedo;Buenos Aires
Calasanz;La América
Calasanz Parte Alta;La América
Calle Nueva;La Candelaria
Campo Alegre;La América
Campo Amor;Guayabal
Campo Valdés No. 1;Aranjuez
Campo Valdés No. 2;Manrique
Caribe;Castilla
Carlos E. Restrepo;Laureles-Estadio
Carpinelo;Popular
Castilla;Castilla
Castropol;El Poblado
Cataluña;Buenos Aires
Cementerio Universal;Castilla
Centro Administrativo;La Candelaria
Cerro Nutibara;Belén
Ciudadela Robledo U. de A.;Robledo
Corazón de Jesús;La Candelaria
Córdoba;Robledo
Corregimiento Altavista;Corregimiento Altavista
Corregimiento Palmitas;Corregimiento Palmitas
Corregimiento San Antonio de Prado;Corregimiento San Antonio de Prado
Corregimiento San Cristobal;Corregimiento San Cristobal
Corregimiento Santa Elena;Corregimiento Santa Elena
Cristo Rey;Guayabal
Cuarta Brigada;Laureles-Estadio
Cucaracho;Robledo
Diego Echavarría;Belén
Doce de Octubre No. 1;Doce de Octubre
Doce de Octubre No. 2;Doce de Octubre
Eduardo Santos;San Javier
El Castillo;El Poblado
El Chagualo;La Candelaria
El Compromiso;Popular
El Corazón;San Javier
El Danubio;La América
El Nogal-Los Almendros;Belén
El Pesebre;San Javier
El Pinal;Villa Hermosa
El Playón de Los Comuneros;Santa Cruz
El Poblado;El Poblado
El Pomar;Manrique
El Progreso;Castilla
El Progreso No. 2;Doce de Octubre
El Raizal;Manrique
El Rincón;Belén
El Salado;San Javier
El Salvador;Buenos Aires
El Socorro;San Javier
El Tesoro;El Poblado
El Triunfo;Doce de Octubre
El Velódromo;Laureles-Estadio
El Volador;Robledo
Enciso;Villa Hermosa
Estación Villa;La Candelaria
Estadio;Laureles-Estadio
Fátima;Belén
Ferrini;La América
Florencia;Castilla
Florida Nueva;Laureles-Estadio
Francisco Antonio Zea;Castilla
Fuente Clara;Robledo
Gerona;Buenos Aires
Girardot;Castilla
Granada;Belén
Granizal;Popular
Guayabal;Guayabal
Guayaquil;La Candelaria
Héctor Abad Gómez;Castilla
Jesús Nazareno;La Candelaria
Juan Pablo II;Buenos Aires
Juan XXIII;San Javier
Kennedy;Doce de Octubre
La Aguacatala;El Poblado
La Alpujarra;La Candelaria
La América;La América
La Avanzada;Popular
