DIA;MES;ANO
1;8;2014
2;8;2014
3;8;2014
4;8;2014
5;8;2014
6;8;2014
7;8;2014
8;8;2014
9;8;2014
10;8;2014
31;7;2015
1;8;2015
2;8;2015
3;8;2015
4;8;2015
5;8;2015
6;8;2015
7;8;2015
8;8;2015
9;8;2015
29;7;2016
30;7;2016
31;7;2016
1;8;2016
2;8;2016
3;8;2016
4;8;2016
5;8;2016
6;8;2016
7;8;2016
28;7;2017
29;7;2017
30;7;2017
31;7;2017
1;8;2017
2;8;2017
3;8;2017
4;8;2017
5;8;2017
6;8;2017
3;8;2018
4;8;2018
5;8;2018
6;8;2018
7;8;2018
8;8;2018
9;8;2018
10;8;2018
11;8;2018
12;8;2018
2;8;2019
3;8;2019
4;8;2019
5;8;2019
6;8;2019
7;8;2019
8;8;2019
9;8;2019
10;8;2019
11;8;2019
31;7;2020
1;8;2020
2;8;2020
3;8;2020
4;8;2020
5;8;2020
6;8;2020
7;8;2020
8;8;2020
9;8;2020
