DIA;MES;ANO
6;1;2014
24;3;2014
17;4;2014
18;4;2014
2;6;2014
23;6;2014
30;6;2014
18;8;2014
13;10;2014
3;11;2014
10;11;2014
17;11;2014
12;1;2015
23;3;2015
2;4;2015
3;4;2015
18;5;2015
8;6;2015
15;6;2015
29;6;2015
17;8;2015
12;10;2015
2;11;2015
16;11;2015
11;1;2016
21;3;2016
24;3;2016
25;3;2016
9;5;2016
30;5;2016
6;6;2016
4;7;2016
15;8;2016
17;10;2016
7;11;2016
14;11;2016
9;1;2017
20;3;2017
13;4;2017
14;4;2017
29;5;2017
19;6;2017
26;6;2017
3;7;2017
21;8;2017
16;10;2017
6;11;2017
13;11;2017
8;1;2018
19;3;2018
29;3;2018
30;3;2018
14;5;2018
4;6;2018
11;6;2018
2;7;2018
20;8;2018
15;10;2018
5;11;2018
12;11;2018
7;1;2019
25;3;2019
18;4;2019
19;4;2019
3;6;2019
24;6;2019
1;7;2019
19;8;2019
14;10;2019
4;11;2019
11;11;2019
6;1;2020
23;3;2020
9;4;2020
10;4;2020
25;5;2020
15;6;2020
22;6;2020
29;6;2020
17;8;2020
12;10;2020
2;11;2020
16;11;2020
