DIA;MES;ANO
31;10;2014
1;11;2014
2;11;2014
3;11;2014
30;10;2015
31;10;2015
1;11;2015
2;11;2015
28;10;2016
29;10;2016
30;10;2016
31;10;2016
4;11;2016
5;11;2016
6;11;2016
27;10;2017
28;10;2017
29;10;2017
31;10;2017
1;1;2017
3;1;2017
4;1;2017
5;1;2017
6;1;2017
26;10;2018
27;10;2018
28;10;2018
29;10;2018
31;10;2018
1;11;2018
2;11;2018
3;11;2018
4;11;2018
5;11;2018
25;10;2019
26;10;2019
27;10;2019
28;10;2019
31;10;2019
1;11;2019
2;11;2019
3;11;2019
4;11;2019
30;10;2020
31;10;2020
1;10;2020
2;10;2020
