NOMBRE;BARRIO
;SN
0;SN
6001;SN
7001;SN
9004;SN
9086;SN
Aguas frias;Aguas Frias
Aguas Frias;Aguas Frias
Aldea Pablo VI;Aldea Pablo VI
Alejandría;Alejandría
Alejandro Echavarría;Alejandro Echavarría
Alfonso López;Alfonso López
Altamira;Altamira
Altavista;Altavista
Altavista Sector Central;Altavista Sector Central
Altos del Poblado;Altos del Poblado
Andalucía;Andalucía
Antonio Nariño;Antonio Nariño
Aranjuez;Aranjuez
Area De Expansion Altavista;Area De Expansion Altavista
Área de Expansión Altavista;Area De Expansion Altavista
Área de Expansión Altos de Calasanz;Area de Expansion Altos de Calasanz
Area De Expansion Belen Rincon;Area De Expansion Belen Rincon
Área de Expansión Pajarito;Área de Expansión Pajarito
Área de Expansión San Antonio de Prado;Área de Expansión San Antonio de Prado
Asomadera No. 1;Asomadera No. 1
Asomadera No. 2;Asomadera No. 2
Asomadera No. 3;Asomadera No. 3
Asomadera No.1;Asomadera No. 1
Astorga;Astorga
AUC1;Cabecera Urbana San Cristobal
AUC2;Cabecera San Antonio de Prado
Aures No. 2;Aures No. 2
Aures No.1;Aures No.1
Aures No.2;Aures No. 2
B. Cerro  El Volador;B. Cerro  El Volador
B. Cerro El Volador;B. Cerro  El Volador
Barrio Caicedo;Barrio Caicedo
Barrio Colombia;Barrio Colombia
Barrio Colón;Barrio Colón
Barrio Cristóbal;Barrio Cristóbal
Barrio de Jesús;Barrio de Jesús
Barrios de Jesús;Barrio de Jesús
Batallón Girardot;Batallón Girardot
Belalcázar;Belalcázar
Belén;Belén
Belencito;Belencito
Bello Horizonte;Bello Horizonte
Berlin;Berlin
Berlín;Berlin
Bermejal-Los Alamos;Bermejal-Los Alamos
Betania;Betania
Blanquizal;Blanquizal
Bolivariana;Bolivariana
Bomboná No. 1;Bomboná No. 1
Bomboná No. 2;Bomboná No. 2
Bomboná No.1;Bomboná No. 1
Bosques de San Pablo;Bosques de San Pablo
Boston;Boston
Boyacá;Boyacá
Brasilia;Brasilia
Buenos Aires;Buenos Aires
Buga Patio Bonito;Buga Patio Bonito
Cabecera San Antonio de Prado;Cabecera San Antonio de Prado
Cabecera Urbana San Cristobal;Cabecera Urbana San Cristobal
Calasanz;Calasanz
Calasanz Parte Alta;Calasanz Parte Alta
Calle Nueva;Calle Nueva
Campo Alegre;Campo Alegre
Campo Amor;Campo Amor
Campo Valdés No. 1;Campo Valdés No. 1
Campo Valdés No. 2;Campo Valdés No. 2
Campo Valdés No.2;Campo Valdés No. 2
Caribe;Caribe
Carlos E. Restrepo;Carlos E. Restrepo
Carpinelo;Carpinelo
Castilla;Castilla
Castropol;Castropol
Cataluña;Cataluña
Cementerio Universal;Cementerio Universal
Centro Administrativo;Centro Administrativo
Cerro nutibara;Cerro Nutibara
Cerro Nutibara;Cerro Nutibara
Corazón de Jesús;Corazón de Jesús
Córdoba;Córdoba
Cristo Rey;Cristo Rey
Cuarta Brigada;Cuarta Brigada
Cucaracho;Cucaracho
Diego Echavarría;Diego Echavarría
Doce de Octubre No.1;Doce de Octubre No.1
