LOCAL;VISITA
2014-01-26;2014-02-03
2014-02-06;2014-02-09
2014-02-16;2014-02-19
2014-02-22;2014-03-01
2014-03-04;2014-03-07
2014-03-14;2014-03-22
2014-03-29;2014-03-26
2014-04-05;2014-04-16
2014-04-13;2014-04-19
2014-05-04;2014-04-26
2014-05-11;2014-05-07
2014-05-21;2014-05-18
2014-07-27;2014-07-19
2014-08-10;2014-08-03
2014-08-23;2014-08-16
2014-09-07;2014-09-01
2014-09-13;2014-09-21
2014-09-28;2014-10-05
2014-10-12;2014-10-15
2014-10-25;2014-10-19
2014-11-09;2014-11-01
2014-11-13;2014-11-16
2014-11-30;2014-11-22
2014-12-14;2014-12-06
2014-07-02;2014-06-29
2014-07-10;2014-07-06
2014-07-30;2014-07-23
2014-08-13;2014-08-06
2014-08-28;2014-08-20
2014-09-19;2014-09-04
2014-10-02;2014-10-08
2014-02-13;2014-02-25
2014-03-11;2014-03-18
2014-04-02;2014-04-10
2014-04-23;2014-05-01
2014-05-08;2014-05-15
2014-08-27;2014-09-25
2014-09-10;2014-10-16
2014-10-01;2014-11-05
2014-10-29;2014-11-26
2014-11-19;2014-12-10
2014-12-03;2014-12-10
2015-01-24;2017-01-27
2015-01-31;2015-02-07
2015-02-11;2015-02-14
2015-02-26;2015-02-22
2015-03-01;2015-03-08
2015-03-15;2015-03-22
2015-03-28;2015-04-01
2015-04-04;2015-04-12
2015-04-18;2015-04-26
2015-05-10;2015-04-29
2015-05-16;2015-05-03
2015-05-20;2015-05-23
2015-07-18;2015-07-12
2015-08-02;2015-07-25
2015-08-05;2015-08-19
2015-08-23;2015-09-05
2015-08-29;2015-09-14
2015-09-10;2015-09-19
2015-09-27;2015-10-17
2015-10-03;2015-10-22
2015-10-28;2015-11-07
2015-10-31;2015-11-21
2015-12-05;2015-11-29
2015-12-13;2015-12-10
2015-12-20;2015-12-16
2015-07-15;2015-07-29
2015-03-05;2015-02-19
2015-03-19;2015-03-11
2015-04-21;2015-04-09
2015-05-14;2015-05-07
2016-01-27;2016-01-23
2016-01-31;2016-02-07
2016-02-13;2016-02-16
2016-03-05;2016-02-27
2016-03-27;2016-03-20
2016-04-03;2016-03-31
2016-04-06;2016-04-09
2016-04-16;2016-04-23
2016-05-07;2016-05-01
2016-05-22;2016-05-15
2016-05-25;2016-05-28
2016-06-04;2016-06-01
2016-06-11;2016-06-08
2016-07-10;2016-07-01
2016-07-16;2016-07-23
2016-08-07;2016-07-31
2016-08-21;2016-08-14
2016-08-28;2016-09-10
2016-09-24;2016-09-17
2016-10-15;2016-09-30
2016-10-30;2016-10-08
2016-11-09;2016-10-22
2016-11-19;2016-11-06
2016-12-03;2016-11-27
2016-12-11;2016-12-07
2016-08-03;2016-08-18
2016-09-01;2016-09-07
2016-10-05;2016-10-13
2016-11-13;2016-11-17
2016-03-01;2016-02-23
2016-03-08;2016-03-15
2016-04-19;2016-04-12
2016-05-03;2016-04-26
2016-05-19;2016-05-12
2016-07-13;2016-07-06
2016-07-27;2016-07-20
2016-08-17;2016-08-11
2016-09-13;2016-08-24
2016-09-27;2016-09-20
2016-10-26;2016-10-19
2016-11-24;2016-11-01
2016-12-14;2016-12-18
2017-01-29;2017-02-09
2017-02-12;2017-02-18
2017-03-02;2017-02-25
2017-03-18;2017-03-05
2017-03-31;2017-03-11
2017-04-16;2017-04-07
2017-04-26;2017-04-23
2017-04-29;2017-05-06
2017-05-11;2017-05-13
2017-05-21;2017-05-28
2017-06-03;2017-05-31
2017-06-11;2017-06-07
2017-06-18;2017-06-14
2017-07-16;2017-07-09
2017-07-23;2017-07-20
2017-08-09;2017-07-30
2017-08-16;2017-08-13
2017-08-20;2017-08-26
2017-09-16;2017-09-20
2017-09-27;2017-09-24
2017-09-30;2017-10-16
2017-10-31;2017-11-05
2017-11-18;2017-11-12
2017-12-02;2017-11-26
2017-07-13;2017-07-26
2017-08-30;2017-08-23
2017-04-13;2017-03-14
2017-05-02;2017-04-19
2017-05-25;2017-05-18
2017-05-10;2017-04-04
2018-02-07;2018-01-31
2018-02-10;2018-02-04
2018-02-22;2018-02-15
2018-03-07;2018-02-18
2018-03-17;2018-03-03
2018-03-28;2018-03-22
2018-04-08;2018-03-25
2018-04-15;2018-04-01
2018-04-21;2018-04-25
2018-05-06;2018-04-29
2018-05-19;2018-05-02
2018-06-02;2018-05-12
2018-06-09;2018-05-29
2018-07-25;2018-06-06
2018-08-01;2018-07-28
2018-08-12;2018-08-18
2018-08-24;2018-09-02
2018-09-05;2018-09-09
2018-09-16;2018-09-23
2018-09-30;2018-10-06
2018-10-14;2018-10-18
2018-10-21;2018-10-27
2018-11-05;2018-11-11
2018-08-15;2018-08-21
2018-09-13;2018-09-19
2018-10-11;2018-10-03
2018-11-01;2018-10-24
2018-03-14;2018-02-27
2018-04-24;2018-04-05
2018-05-24;2018-05-15
2018-08-28;2018-08-09
